0.1385   -0.3067   0.01001 0.0001341      27.8     3.181      11.1     5.483       4.6
0.6314   -0.5267  0.004267 0.0007642         0         0         1         0       4.3
0.3963   -0.3986   0.02068 0.0009512     208.9     21.98         1         0       4.5
0.1584   -0.3149   0.02038 0.0006823      86.2     11.71       1.5    0.4472       4.7
0.07154   -0.2719  0.004009 0.0001977      10.2    0.9529       6.4     2.561       4.9
0.7713   -0.6637  0.003375  0.001477         0         0         2     1.049         4
0.7821   -0.6817  0.007755  0.003206         0         0       1.2    0.2449       4.1
0.7107   -0.6057  0.009124  0.003013         0         0       1.4    0.4472       4.2
0.6456    -0.549   0.01235  0.003399         0         0       1.4    0.4472       4.3
0.6272   -0.5427    0.0222   0.00504     139.6     30.99         1         0       4.4
0.5389   -0.4714   0.01612  0.002037        66     14.58         1         0      4.41
0.5097   -0.4403  0.005958  0.000632     198.3     44.12         1         0      4.42
0.5345   -0.4635   0.01257  0.001453      77.3     14.52         1         0      4.43
0.6479   -0.5782   0.03937  0.008257     279.9        44         1         0      4.44
0.5579   -0.4904   0.02369  0.003997      69.9     15.41         1         0      4.45
0.5002   -0.4562   0.02585  0.003502       165     33.77         1         0      4.46
0.4002   -0.4077   0.02896    0.0022     318.6     44.02     150.1       102      4.47
0.3732   -0.3901    0.0221 0.0007838     139.6     27.92       1.1    0.1414      4.48
0.3699   -0.4017   0.04022  0.003103     489.5     53.35       3.6     1.929      4.49
0.3151   -0.3677   0.02236 0.0009067     121.7     16.32      19.7     11.28       4.5
0.4278   -0.4127    0.0248  0.002057       297      43.9     109.6     77.01      4.51
0.3643   -0.3962   0.03936  0.003271     331.7     37.72     209.3     110.2      4.52
0.5223   -0.4844   0.04458  0.006319     216.9     27.94      34.7      23.9      4.53
0.4732   -0.4654   0.05552  0.007851     456.7      51.5       0.8         0      4.54
0.3033   -0.3929   0.06129  0.005088     220.9        33       2.5     1.233      4.55
0.5163    -0.535   0.08059  0.008576     238.9     43.97        52     33.76      4.56
0.8873   -0.8327   0.01732  0.005791         0         0         1         0      4.57
0.4366   -0.5085    0.1351   0.01494     235.4     39.52       1.1    0.1414      4.58
0.5937   -0.5739   0.08741   0.01343     151.5     27.44       2.7     1.233      4.59
0.6087   -0.5814   0.08611   0.01137     144.4     22.81       0.8         0       4.6
0.3384     -0.37   0.02546   0.00131     121.6     20.81       132     90.26       4.6
0.4775   -0.4838   0.08995  0.008737     330.7     51.71      17.8     11.88       4.7
0.1219   -0.3033   0.02804   0.00193      39.9      6.07      30.2     19.62       4.8
0.2565   -0.3824   0.09434  0.008373     102.3     16.27       1.1    0.1414       4.9
