0.7675   -0.6575   0.00268  0.001172         0         0       3.2      1.14         4
0.7852   -0.6872  0.009485  0.003778         0         0       1.8    0.8485       4.1
0.7628   -0.6709   0.01677  0.006062         0         0       2.2    0.8246       4.2
0.6129    -0.513  0.004467  0.000836         0         0       1.6    0.6481       4.3
0.5192    -0.452  0.008976  0.001063      61.7     19.35       4.4     2.205       4.4
0.6562    -0.571   0.02498  0.005469      94.5     29.72         1         0      4.41
0.6347   -0.5446   0.01905  0.003917     282.1     51.28         1         0      4.42
0.4676   -0.4263   0.01298 0.0006787     110.2     14.76      10.9     9.011      4.43
0.4771   -0.4316   0.01627  0.001876     318.6     50.06       0.8         0      4.44
0.5453   -0.4879   0.02897  0.004946      88.2     17.69         1         0      4.45
0.4427    -0.417   0.01687   0.00106     209.1     35.75         8     6.307      4.46
0.4372   -0.4377   0.04223  0.003918     283.6      41.5     134.6     94.69      4.47
0.4282   -0.4169   0.02448  0.002314     532.6     67.51       2.9     1.949      4.48
0.411   -0.4159   0.03431  0.003426     372.2     50.43       1.1    0.4472      4.49
0.5708   -0.5275   0.05174  0.008289     489.5     58.24       0.6         0       4.5
0.2894   -0.3673   0.02375 0.0008543     110.3     17.79      49.3     30.82      4.51
0.3853   -0.4119   0.04615  0.003148       347     44.29       5.5      4.55      4.52
0.5198   -0.5086   0.07372  0.008057     354.4     44.23      19.8     13.67      4.53
0.3257   -0.3819   0.03517  0.002234     330.3     40.11      34.8     21.18      4.54
0.3506   -0.3939    0.0423  0.003765     246.2     34.45      36.5     25.37      4.55
0.2908   -0.3729   0.03702  0.001987       135     15.44      81.2     46.93      4.56
0.3264   -0.3775   0.03025  0.001735     109.2      15.9     104.3     73.22      4.57
0.282   -0.3781   0.05189  0.004112     251.5     35.62      26.1     17.36      4.58
0.386   -0.4418   0.08491  0.007417     278.5     40.92       0.6         0      4.59
0.1836   -0.3273   0.02486  0.000742      89.7     16.14        10     4.261       4.6
0.2851    -0.374   0.05219  0.004416     182.6     32.24     177.1     119.9       4.6
0.2228   -0.3641   0.06527  0.004732     193.8     27.41       1.2    0.2449       4.7
0.1889   -0.3483    0.0638  0.005857      75.4     9.958        44     27.73       4.8
0.1486   -0.3207   0.05638  0.004888     126.4      22.3      13.7     9.039       4.9
